Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
22.7772231,-102.6047089,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
22.786079,-102.6184188,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7822279,-102.6082227,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
22.7838185,-102.6123448,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7773003,-102.6188645,Calle Tiro San Bartolo,No especificada,Zacatecas,Zacatecas,98047
22.7862887,-102.614105,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7852978,-102.6109344,Calle no registrada,No especificada,No especificado,Zacatecas,98047
22.7821178,-102.5999433,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
22.7856884,-102.6180797,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7771584,-102.5993513,Paseo de la Galeria,No especificada,Zacatecas,Zacatecas,98047
22.7832258,-102.6220824,Calle no registrada,No especificada,No especificado,Zacatecas,98047
22.7788155,-102.5812273,Calle 18 de Marzo,No especificada,Zacatecas,Zacatecas,98050
22.7804548,-102.5930643,Calle no registrada,No especificada,Zacatecas,Zacatecas,98024
22.7784651,-102.6021029,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
22.7809891,-102.6034257,Calle Nivel,No especificada,Zacatecas,Zacatecas,98047
22.7812334,-102.5788455,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7825743,-102.6080249,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
22.7777965,-102.6139524,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7777662,-102.6191631,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.778435,-102.6197288,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.781988,-102.6144692,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.7851716,-102.6108634,Calle no registrada,No especificada,No especificado,Zacatecas,98047
22.7846189,-102.6051028,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
22.7755528,-102.5837284,Calle Salamanca,No especificada,Zacatecas,Zacatecas,98050
22.7816269,-102.5811943,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
22.7813761,-102.6206442,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
